"HONG KONG, HONG KONG",,"DALLAS, TX","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3382,4022,4022,5089,,FAK (Straight load only),
"YANTIAN, CHINA",,"DALLAS, TX","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3382,4022,4022,5089,,FAK (Straight load only),
"NANSHA, CHINA",,"DENVER, CO","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"DENVER, CO","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"DENVER, CO","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"NANSHA, CHINA",,"HOUSTON, TX","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3000,3572,3572,4520,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"HOUSTON, TX","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3000,3572,3572,4520,,FAK (Straight load only),
"YANTIAN, CHINA",,"HOUSTON, TX","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3000,3572,3572,4520,,FAK (Straight load only),
"NANSHA, CHINA",,"KANSAS CITY, KS","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3382,4022,4022,5089,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"KANSAS CITY, KS","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3382,4022,4022,5089,,FAK (Straight load only),
"YANTIAN, CHINA",,"KANSAS CITY, KS","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3382,4022,4022,5089,,FAK (Straight load only),
"NANSHA, CHINA",,"LOUISVILLE, KY","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LOUISVILLE, KY","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"YANTIAN, CHINA",,"LOUISVILLE, KY","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"YANTIAN, CHINA",,"LOUISVILLE, KY","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"YANTIAN, CHINA",,"LOUISVILLE, KY","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3732,4432,4432,5606,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LOUISVILLE, KY","VANCOUVER, CANADA",20 ,Y/R,APLU,7/15/2018,7/31/2018,3732,4432,4432,5606,,FAK (Straight load only),
"YANTIAN, CHINA",,"LOUISVILLE, KY","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3732,4432,4432,5606,,FAK (Straight load only),
"NANSHA, CHINA",,"MEMPHIS, TN","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MEMPHIS, TN","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
"YANTIAN, CHINA",,"MEMPHIS, TN","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
"YANTIAN, CHINA",,"MEMPHIS, TN","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
"YANTIAN, CHINA",,"MEMPHIS, TN","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3477,4132,4132,5226,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MEMPHIS, TN","VANCOUVER, CANADA",20 ,Y/R,APLU,7/15/2018,7/31/2018,3477,4132,4132,5226,,FAK (Straight load only),
"YANTIAN, CHINA",,"MEMPHIS, TN","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3477,4132,4132,5226,,FAK (Straight load only),
